nohup: ignoring input
127.0.0.1 - - [18/May/2026 10:23:23] code 501, message Unsupported method ('HEAD')
127.0.0.1 - - [18/May/2026 10:23:23] "HEAD / HTTP/1.1" 501 -
127.0.0.1 - - [18/May/2026 10:23:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:23:35] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:23:35] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:23:35] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:23:35] "GET /api/summary HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:23:35] "GET /api/insights HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:23:35] "GET /api/entities?limit=100 HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:23:35] "GET /api/records?page=1&page_size=50&breadcrumbs= HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:23:44] "GET /api/records?kind=parsed_text&parse_status=parsed_legacy&page=1&page_size=50&breadcrumbs=%5Bobject+Object%5D HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:23:45] "GET /api/records?kind=parsed_text&parse_status=parsed_legacy&page=1&page_size=5 HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:23:49] "GET /api/records?page=1&page_size=50&breadcrumbs=%5Bobject+Object%5D HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:24:04] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:24:04] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:24:04] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:24:04] "GET /api/summary HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:24:04] "GET /api/insights HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:24:04] "GET /api/entities?limit=100 HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:24:05] "GET /api/records?page=1&page_size=50&breadcrumbs= HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:24:09] "GET /api/records?kind=parsed_text&parse_status=parsed_legacy&page=1&page_size=50&breadcrumbs=%5Bobject+Object%5D HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:24:10] "GET /api/records?page=1&page_size=50&breadcrumbs=%5Bobject+Object%5D HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:04] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:04] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:04] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:04] "GET /api/summary HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:04] "GET /api/insights HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:04] "GET /api/entities?limit=100 HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:04] "GET /api/records?page=1&page_size=50&breadcrumbs= HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:11] "GET /api/preview?record_id=asset%3A111 HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:11] "GET /files/data/raw/images/release_1/FBI/fbi-photo-a4.png HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:11] "GET /api/debrief?asset_id=111 HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:11] "GET /api/correlations?asset_id=111&type=entity HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:12] "GET /api/timeline? HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:33] "GET /api/preview?record_id=asset%3A111 HTTP/1.1" 200 -
127.0.0.1 - - [18/May/2026 10:27:33] "GET /files/data/raw/images/release_1/FBI/fbi-photo-a4.png HTTP/1.1" 200 -
